time,up,down
0.05600000000000001,1332,3438
0.059999999999999984,460,8215
0.06,237,263
0.055999999999999994,598,874
0.06,708,592
0.055999999999999994,70,54
0.06000000000000005,293,216
0.055999999999999994,352,329
0.03600000000000003,47,5100
0.03199999999999992,217,86
0.03200000000000003,342,251
0.03600000000000003,299,705
0.03199999999999992,363,573
0.06000000000000005,1706,15
0.05600000000000005,835,732
0.05999999999999994,1029,884
0.05600000000000005,361,417
0.05999999999999994,410,412
0.05600000000000005,254,300
0.06000000000000005,324,321
0.05599999999999983,226,358
0.06000000000000005,586,960
0.06000000000000005,467,543
0.05600000000000005,0,0
0.05999999999999983,2,0
0.05600000000000005,153,109
0.06000000000000005,182,158
0.05600000000000005,120,139
0.06000000000000005,64,89
0.05999999999999983,0,0
0.05600000000000005,49,35
0.06000000000000005,0,0
0.05600000000000005,0,0
0.05999999999999983,461,611
0.05600000000000005,110,128
0.06000000000000005,8,0
0.05600000000000005,0,0
0.06000000000000005,7,6
0.06000000000000005,11,13
0.055999999999999606,3,15
0.06000000000000005,203,176
0.05600000000000005,7,3
0.06000000000000005,0,0
0.05600000000000005,0,2
0.06000000000000005,0,0
0.05600000000000005,125,128
0.06000000000000005,2,11
0.06000000000000005,25,45
0.055999999999999606,4878,0
0.06000000000000005,2746,4
0.05600000000000005,131,73
0.06000000000000005,88,80
0.05600000000000005,33,251
0.06000000000000005,7,5552
0.06000000000000005,9,2
0.05600000000000005,35,12
0.05999999999999961,5052,0
0.05600000000000005,914,0
0.06000000000000005,0,0
0.05600000000000005,49,4
0.06000000000000005,0,90
0.05600000000000005,0,5395
0.06000000000000005,0,0
0.06000000000000005,0,0
0.05600000000000005,5262,72
0.05999999999999961,517,0
0.05600000000000005,52,80
0.06000000000000005,93,151
0.05600000000000005,0,0
0.05999999999999961,268,192
0.0600000000000005,145,144
0.05600000000000005,194,213
0.05999999999999961,0,402
0.05600000000000005,5,5262
0.0600000000000005,28,24
0.05600000000000005,77,73
0.05999999999999961,209,192
0.05600000000000005,1,1
0.05999999999999961,0,0
0.0600000000000005,34,91
0.05600000000000005,5524,0
0.05999999999999961,467,106
0.05600000000000005,232,216
0.0600000000000005,22,15
0.05600000000000005,607,802
0.05999999999999961,248,188
0.05600000000000005,52,2
0.05999999999999961,308,429
0.0600000000000005,0,3426
0.05600000000000005,0,4650
0.05999999999999961,0,5
0.05600000000000005,80,75
0.0600000000000005,5704,29
0.05600000000000005,93,14
0.05999999999999961,178,109
0.05999999999999961,0,0
0.05600000000000005,0,5238
0.0600000000000005,5,3719
0.05600000000000005,0,0
0.05999999999999961,0,0
0.05600000000000005,0,0
0.0600000000000005,0,0
0.05600000000000005,59,40
0.05999999999999961,314,268
0.05999999999999961,5560,0
0.05600000000000005,780,673
0.0600000000000005,88,303
0.05600000000000005,296,271
0.05999999999999961,16,5957
0.05600000000000005,0,0
0.0600000000000005,0,0
0.05600000000000005,0,0
0.05999999999999961,5533,0
0.05999999999999961,58,59
0.05600000000000005,475,492
0.0600000000000005,0,0
0.05600000000000005,2,5601
0.05999999999999961,4,0
0.05600000000000005,126,105
0.0600000000000005,3785,1
0.05999999999999961,5181,0
0.05600000000000005,168,146
0.05999999999999961,216,296
0.05600000000000005,0,2
0.0600000000000005,128,5721
0.05600000000000005,0,0
0.05999999999999961,183,198
0.05600000000000005,4522,20
0.0600000000000005,2223,6
0.05999999999999961,394,354
0.05600000000000005,47,77
0.05999999999999961,37,46
0.05600000000000005,292,300
0.0600000000000005,166,186
0.05600000000000005,0,26
0.05999999999999961,0,10
0.05600000000000005,0,5029
0.0600000000000005,1,4
0.05999999999999961,21,16
0.05599999999999916,25,34
0.0600000000000005,53,37
0.05600000000000094,177,130
0.05999999999999872,262,280
0.05600000000000094,4920,117
0.0600000000000005,354,0
0.05999999999999872,311,254
0.05600000000000094,398,450
0.05999999999999872,32,35
0.05600000000000094,1,2
0.0600000000000005,145,82
0.05599999999999916,228,209
0.0600000000000005,0,290
0.05599999999999916,0,4570
0.0600000000000005,0,0
0.0600000000000005,0,0
0.05599999999999916,4666,0
0.0600000000000005,435,108
0.05599999999999916,1,0
0.0600000000000005,446,401
0.05600000000000094,3,764
0.05999999999999872,17,4423
0.05600000000000094,72,33
0.0600000000000005,0,0
0.05999999999999872,0,1
0.05600000000000094,18,20
0.05999999999999872,0,0
0.05600000000000094,1,0
0.0600000000000005,4758,16
0.05599999999999916,146,3
0.0600000000000005,452,481
0.0600000000000005,47,138
0.05599999999999916,7,3635
0.0600000000000005,21,4018
0.05599999999999916,0,1
0.0600000000000005,0,0
0.05599999999999916,4874,0
0.0600000000000005,6,29
0.05600000000000094,0,5
0.05999999999999872,55,104
0.0600000000000005,4,5011
0.05600000000000094,152,1874
0.05999999999999872,0,0
0.05600000000000094,32,43
0.05999999999999872,5108,0
0.05600000000000094,14,10
0.0600000000000005,0,0
0.05599999999999916,12,44
0.0600000000000005,63,5374
0.0600000000000005,402,279
0.05599999999999916,1,4
0.0600000000000005,79,130
0.05599999999999916,5176,38
0.0600000000000005,0,0
0.05599999999999916,391,365
0.0600000000000005,0,0
0.0600000000000005,772,766
0.05599999999999916,741,819
0.0600000000000005,1,49
0.05599999999999916,196,194
0.0600000000000005,307,5791
0.05600000000000094,485,526
0.05999999999999872,274,320
0.05600000000000094,0,0
0.0600000000000005,10,13
0.05999999999999872,0,0
0.05600000000000094,0,0
0.0600000000000005,4133,4
0.05599999999999916,2020,106
0.0600000000000005,172,337
0.05599999999999916,0,0
0.0600000000000005,86,47
0.05599999999999916,199,212
0.0600000000000005,158,169
0.0600000000000005,239,220
0.05599999999999916,7,348
0.0600000000000005,1,4526
0.05599999999999916,49,28
0.0600000000000005,0,0
0.05600000000000094,4388,66
0.05999999999999872,549,41
0.0600000000000005,49,25
0.05600000000000094,221,227
0.05999999999999872,0,265
0.05600000000000094,0,4353
0.05999999999999872,33,22
0.05600000000000094,0,13
0.0600000000000005,0,0
0.05599999999999916,14,11
0.0600000000000005,0,0
0.0600000000000005,13,10
0.05599999999999916,4411,0
0.0600000000000005,171,0
0.05599999999999916,22,2
0.0600000000000005,52,46
0.05599999999999916,0,696
0.0600000000000005,0,4248
0.0600000000000005,33,38
0.05599999999999916,76,35
0.0600000000000005,4847,124
0.05600000000000094,337,120
0.05999999999999872,486,530
0.05600000000000094,245,278
0.05999999999999872,2,1773
0.05600000000000094,0,4025
0.0600000000000005,5,4
0.05999999999999872,0,0
0.05600000000000094,4620,0
