time,up,down
0.032,623,257
0.036000000000000004,230,265
0.032,399,535
0.032,1829,738
0.036000000000000004,3705,459
0.032,2079,310
0.032,817,619
0.035999999999999976,144,437
0.03200000000000003,439,1386
0.03199999999999997,121,623
0.03600000000000003,11,4
0.03199999999999997,155,191
0.03200000000000003,220,410
0.03199999999999997,296,604
0.03600000000000003,384,544
0.03199999999999992,401,583
0.03200000000000003,532,516
0.03600000000000003,794,463
0.03200000000000003,1359,259
0.03199999999999992,1124,455
0.03600000000000003,1343,273
0.03200000000000003,1121,422
0.03200000000000003,1870,618
0.03599999999999992,2330,918
0.03200000000000003,2584,1387
0.03200000000000003,2533,922
0.03600000000000003,1501,607
0.03199999999999992,1270,723
0.03200000000000003,985,581
0.03600000000000003,484,452
0.03200000000000003,431,454
0.03200000000000003,708,459
0.03599999999999981,612,839
0.03200000000000003,741,1128
0.03200000000000003,751,1815
0.03600000000000003,819,1542
0.03200000000000003,458,785
0.03200000000000003,429,360
0.03200000000000003,298,228
0.03600000000000003,159,163
0.031999999999999806,133,88
0.03200000000000003,58,47
0.03600000000000003,4,5
0.03200000000000003,4,2
0.03200000000000003,5,5
0.03600000000000003,64,56
0.03200000000000003,303,175
0.031999999999999806,215,159
0.03600000000000003,264,313
0.03200000000000003,365,225
0.03200000000000003,295,260
0.03600000000000003,383,383
0.03200000000000003,370,417
0.03200000000000003,130,292
0.03600000000000003,14,21
0.031999999999999806,55,99
0.03200000000000003,2,5
0.03600000000000003,7,8
0.03200000000000003,13,17
0.03200000000000003,0,3
0.03600000000000003,3,2
0.03200000000000003,2,2
0.03200000000000003,4,0
0.03200000000000003,3,4
0.03600000000000003,6,9
0.03200000000000003,4,0
0.031999999999999584,4,1
0.03600000000000003,131,63
0.03200000000000003,36,13
0.03200000000000003,5,0
0.03600000000000003,3,7
0.03200000000000003,16,18
0.03200000000000003,64,148
0.03600000000000003,278,454
0.03200000000000003,164,378
0.03200000000000003,155,410
0.03600000000000003,190,339
0.03200000000000003,14,30
0.03200000000000003,0,1
0.03600000000000003,16,4
0.03200000000000003,60,12
0.031999999999999584,181,120
0.03600000000000003,16,9
0.03200000000000003,3,3
0.03200000000000003,0,4
0.03600000000000003,1,3
0.03200000000000003,6,0
0.03200000000000003,2,3
0.03200000000000003,1,3
0.03600000000000003,5,0
0.03200000000000003,54,30
0.03200000000000003,119,53
0.03600000000000003,1,2
0.03200000000000003,1,6
0.03200000000000003,4,22
0.03600000000000003,4,4
0.031999999999999584,2,1
0.03200000000000003,1,2
0.03600000000000003,7,2
0.03200000000000003,2,0
0.03200000000000003,2,0
0.03600000000000003,0,0
0.03200000000000003,830,0
0.03200000000000003,0,0
0.03600000000000003,1,0
0.03200000000000003,0,2
0.03200000000000003,1,1
0.03600000000000003,2,0
0.03200000000000003,2,0
0.03200000000000003,1,732
0.03600000000000003,1,1
0.031999999999999584,1,1
0.03200000000000003,3,3
0.03200000000000003,2,1
0.03600000000000003,0,4
0.03200000000000003,1,11
0.03200000000000003,907,12
0.03600000000000003,0,0
0.03200000000000003,1,2
0.03200000000000003,41,4
0.03599999999999959,12,5
0.03200000000000003,0,0
0.03200000000000003,0,1
0.036000000000000476,5,874
0.03200000000000003,6,0
0.03200000000000003,0,0
0.03599999999999959,2,1
0.03200000000000003,0,1
0.03200000000000003,2,0
0.036000000000000476,0,0
0.03200000000000003,991,0
0.03200000000000003,3,1
0.03599999999999959,3,6
0.03200000000000003,1,2
0.03200000000000003,0,2
0.03599999999999959,1,1
0.03200000000000003,1,2
0.03200000000000003,21,7
0.03200000000000003,4,0
0.036000000000000476,0,2
0.03200000000000003,0,6
0.03200000000000003,2,4
0.03599999999999959,1,0
0.03200000000000003,0,0
0.03200000000000003,2,774
0.036000000000000476,8,5
0.03200000000000003,0,1
0.03200000000000003,1,2
0.03599999999999959,1,2
0.03200000000000003,0,6
0.03200000000000003,1,1
0.03599999999999959,3,0
0.03200000000000003,0,1
0.03200000000000003,1,2
0.036000000000000476,8,1
0.03200000000000003,2,2
0.03200000000000003,1,2
0.03599999999999959,13,5
0.03200000000000003,3,16
0.03200000000000003,5,4
0.036000000000000476,1,1
0.03200000000000003,2,1
0.03200000000000003,23,7
0.03200000000000003,103,40
0.03599999999999959,5,3
0.03200000000000003,2,0
0.03200000000000003,10,21
0.03599999999999959,13,58
0.03200000000000003,7,11
0.03200000000000003,1,0
0.036000000000000476,2,3
0.03200000000000003,11,1
0.03200000000000003,7,28
0.03599999999999959,9,1
0.03200000000000003,8,5
0.03200000000000003,5,1
0.036000000000000476,1,0
0.03200000000000003,0,7
0.03200000000000003,735,0
0.03599999999999959,2,0
0.03200000000000003,4,2
0.03200000000000003,5,3
0.03599999999999959,0,0
0.03200000000000003,3,1
0.03200000000000003,4,23
0.036000000000000476,4,247
0.03200000000000003,3,1
0.03200000000000003,5,4
0.03200000000000003,11,14
0.03599999999999959,1,0
0.03200000000000003,0,0
0.03200000000000003,0,1
0.036000000000000476,1,2
0.03200000000000003,1,1
0.03199999999999914,0,1
0.036000000000000476,1,0
0.03200000000000003,1,0
0.03200000000000003,1,1
0.03599999999999959,30,9
0.03200000000000003,1078,9
0.03200000000000003,18,8
0.036000000000000476,31,40
0.03200000000000003,2,6
0.03200000000000003,3,1
0.03599999999999959,2,0
0.03200000000000003,17,6
0.03200000000000003,9,946
0.036000000000000476,5,9
0.03200000000000003,10,21
0.03199999999999914,3,0
0.036000000000000476,0,4
0.03200000000000003,2,1
0.03200000000000003,4,3
0.03599999999999959,922,1
0.03200000000000003,2,1
0.03200000000000003,0,8
0.03200000000000003,3,2
0.036000000000000476,1,0
0.03200000000000003,2,0
0.03200000000000003,0,1
0.03599999999999959,104,887
0.03200000000000003,8,1
0.03200000000000003,1,1
0.036000000000000476,0,4
0.03199999999999914,1,0
0.03200000000000003,1,0
0.036000000000000476,0,1
0.03200000000000003,56,3
0.03200000000000003,2,3
0.03599999999999959,33,3
0.03200000000000003,5,8
0.03200000000000003,1,5
0.036000000000000476,2,2
0.03200000000000003,6,19
0.03200000000000003,1,624
0.03599999999999959,2,3
0.03200000000000003,1,1
0.03200000000000003,0,1
0.036000000000000476,2,0
0.03199999999999914,1,1
0.03200000000000003,104,1
0.03200000000000003,1,2
0.03599999999999959,0,3
0.03200000000000003,2,10
0.03200000000000003,0,1
0.036000000000001364,0,1
0.03200000000000003,2,1
0.03200000000000003,15,2
0.03599999999999959,10,3
